Country;Capital;Median growth;Mean growth;Average Temp;Average humidity
Australia;canberra;0.041666666666666664;0.09570857359854268;77.89896551724138;0.45724137931034486
Austria;vienna;0.3893129770992366;0.4154111092793951;40.233793103448285;0.7575862068965515
Bahrain;manama;0.06477732793522267;0.2616818996652583;63.524482758620685;0.8134482758620689
Belgium;brussels;0;0.35154294205530323;42.35965517241379;0.8510344827586208
Canada;ottawa;0;0.13131906656404133;18.28655172413793;0.7586206896551723
China;beijing;0.026799745168825655;0.12660866374672314;40.192413793103455;0.4058620689655174
Denmark;copenhagen;0.3405797101449275;0.5976893209429409;39.12379310344827;0.8558620689655171
Finland;helsinki;0;0.1613992367281841;32.10827586206897;0.8355172413793103
France;paris;0;0.18241584928977445;45.19724137931034;0.8220689655172416
Germany;berlin;0.10416666666666666;0.24753534241286956;40.61931034482759;0.8313793103448276
Iran;tehran;0.4842105263157895;0.5208774071139062;37.61000000000001;0.660344827586207
Israel;jerusalem;0.25;0.2782906900952013;45.359310344827584;0.896896551724138
Italy;rome;0.16853040428769933;0.3821254442057595;43.80482758620688;0.833793103448276
Japan;tokyo;0.09411764705882353;0.1519690444249617;53.954827586206896;0.3203448275862069
Kuwait;kuwait city;0.03571428571428571;0.2981304048008815;56.40034482758621;0.6793103448275862
Malaysia;kuala lumpur;0;0.10324154024620169;88.4796551724138;0.6386206896551724
Netherlands;"amsterdam; the hague";0.4095744680851064;0.6333253001074765;43.71448275862068;0.8034482758620691
Norway;oslo;0.37924890350877194;0.6119098146001092;33.46103448275861;0.7910344827586208
Portugal;lisbon;0.36666666666666664;0.5793171598049646;51.55689655172414;0.9248275862068966
Qatar;doha;0.2;1.1263153513153512;62.45689655172413;0.7679310344827587
South Korea;seoul;0.06666666666666667;0.22367237634492193;42.624482758620694;0.44965517241379316
Singapore;singapore;0.05125492485043047;0.13442588527610114;86.83586206896553;0.7462068965517242
Slovenia;ljubljana;0.4375;1.029376293507651;36.81965517241379;0.8824137931034481
Spain;madrid;0;0.3254467767363665;41.203103448275854;0.823448275862069
Sweden;stockholm;0;0.22557901618855206;34.825172413793105;0.8172413793103449
Switzerland;berne;0.3302325581395349;0.6892652938925575;37.98862068965518;0.81
United Kingdom;london;0.041666666666666664;0.17257376362809507;44.21689655172413;0.7982758620689656
United States;washington d.c.;0;0.19482926843764953;42.07827586206896;0.653793103448276
